DATE,MAXIMUM-TEMPERATURE,MINIMUM-TEMPERATURE,WIND-DIRECTION,WIND-SPEED,WIND-RUN,RELATIVE-HUMIDITY,AIR-PRESSURE
Jan-95,33.3,16.4,73,2,,27,1014.5
Feb-95,35.9,18.6,123,3,,23,1013.7
Mar-95,40.5,25.0,191,3,,32,1009.1
Apr-95,40.1,27.2,196,4,,43,1010.5
May-95,36.8,25.7,155,3,,61,1010.3
Jun-95,32.8,23.8,110,2,,76,1011.8
Jul-95,31.5,23.5,88,2,,78,1014.2
Aug-95,30.7,23.0,95,2,,81,1012.4
Sep-95,32.7,23.4,105,2,,76,1012.7
Oct-95,32.9,23.5,165,2,,75,1011.3
Nov-95,34.7,18.4,95,2,,50,1012.8
Dec-95,35.5,16.0,90,3,,34,1017.9
Jan-96,36.5,16.4,70,3,,31,1011
Feb-96,38.7,21.2,82,4,,26,1009.7
Mar-96,40.2,26.0,181,4,,35,1009.8
Apr-96,40.2,27.6,200,4,,65,1010.2
May-96,35.3,25.0,183,3,,75,1010.8
Jun-96,32.7,23.6,165,3,,77,1012.4
Jul-96,31.8,23.4,194,2,,79,1014.1
Aug-96,31.0,22.9,185,2,,80,1013.8
Sep-96,30.6,22.5,173,2,,75,1012.9
Oct-96,32.1,22.9,162,3,,48,1012.3
Nov-96,34.8,17.0,66,3,,39,1013.1
Dec-96,35.7,15.2,66,3,,43,1013
Jan-97,35.6,18.2,110,3,,29,1013.2
Feb-97,34.4,20.6,95,5,,18,1015
Mar-97,39.1,25.3,157,5,,28,1010.7
Apr-97,38.9,26.4,184,4,,64,1012.6
May-97,37.8,26.9,146,3,,78,1013.7
Jun-97,31.5,23.1,90,1,,82,1013.7
Jul-97,32.2,23.6,153,3,,79,1014.1
Aug-97,31.9,23.5,81,4,,76,1014.8
Sep-97,32.7,23.5,121,2,,56,1013.6
Oct-97,34.0,24.0,125,2,,39,1012.8
Nov-97,36.4,20.9,166,2,,39,1012.7
Dec-97,35.2,16.9,102,3,,35,1014.5
Jan-98,34.8,18.0,101,3,,30,1014.5
Feb-98,39.0,22.3,90,3,,24,1014.8
Mar-98,39.0,24.6,113,4,,22,1012.3
Apr-98,41.3,28.1,160,6,,48,1009.6
May-98,37.6,27.1,192,5,,62,1011.8
Jun-98,34.7,25.0,254,4,,72,1014.3
Jul-98,32.0,23.9,253,4,,79,1014.7
Aug-98,30.9,23.4,203,6,,83,1013.6
Sep-98,31.0,23.5,252,2,,84,1013.6
Oct-98,33.1,23.8,242,3,,74,1013.5
Nov-98,36.7,20.1,171,3,,54,1012.5
Dec-98,35.0,17.9,137,3,,45,1014
Jan-99,35.3,18.3,130,3,,32,1012.9
Feb-99,38.5,22.7,173,3,,29,1011
Mar-99,41.0,25.7,307,4,,37,1008.6
Apr-99,40.6,27.5,199,5,,43,1010.5
May-99,37.0,26.6,173,3,,62,1011.9
Jun-99,34.9,24.9,220,4,,71,1012.7
Jul-99,31.7,24.0,192,3,,77,1014.3
Aug-99,30.7,23.5,140,3,,82,1014.5
Sep-99,30.5,22.9,77,2,,83,1013.7
Oct-99,31.4,23.8,113,3,,79,1013.9
Nov-99,35.7,20.3,131,3,,54,1013.2
Dec-99,34.2,17.0,121,2,,40,1014.3
Jan-00,35.9,18.7,127,2,,37,1012.3
Feb-00,33.9,20.6,102,4,,26,1015.1
Mar-00,39.4,24.1,112,3,,25,1011.1
Apr-00,40.7,27.6,187,4,,50,1009.4
May-00,37.4,26.2,155,3,,61,1011.6
Jun-00,31.9,23.7,169,3,,79,1013.9
Jul-00,31.4,24.0,210,1,,83,1013.5
Aug-00,30.5,23.1,214,2,,82,1014.7
Sep-00,31.6,23.6,195,3,,81,1013.5
Oct-00,34.1,23.6,225,5,,72,1013.8
Nov-00,36.8,18.9,113,3,,50,1015.7
Dec-00,34.3,16.5,72,3,,41,1015.4
Jan-01,34.2,16.0,93,3,,31,1015.3
Feb-01,35.7,20.0,128,5,,27,1012.9
Mar-01,40.6,25.0,155,3,,25,1010.4
Apr-01,39.3,26.7,208,5,,49,1010.4
May-01,36.9,26.5,203,5,,63,1012.0
Jun-01,33.0,24.4,211,4,,75,1014.1
Jul-01,31.6,23.8,153,3,,80,1014.3
Aug-01,30.5,23.6,73,2,,83,1015.3
Sep-01,30.2,23.0,99,2,,82,1014.0
Oct-01,33.7,22.6,103,3,,67,1013.9
Nov-01,37.0,18.6,109,2,,44,1013.7
Dec-01,36.3,18.4,58,1,,34,1036.0
Jan-02,32.2,18.5,71,3,,30,1016.1
Feb-02,36.7,21.0,156,4,,28,1013.4
Mar-02,40.6,26.4,223,5,,30,1010.5
Apr-02,40.1,28.4,261,6,,50,1008.9
May-02,38.5,27.5,238,5,,58,1011.2
Jun-02,33.8,25.4,170,5,,73,1013.9
Jul-02,31.9,24.2,134,3,,79,1015.0
Aug-02,30.7,23.6,153,3,,83,1014.4
Sep-02,31.3,23.7,188,3,,81,1013.7
Oct-02,32.7,23.9,161,3,,75,1012.5
Nov-02,35.8,20.1,140,3,,50,1013.2
